year,country,sector,subsector,limit_tco2_per_year
2023,US,power_and_heat_generation,,1564527300
2023,US,power_and_heat_generation,power,inf
2023,US,power_and_heat_generation,heat,inf
2023,US,power_and_heat_generation,chp,inf
2023,US,transport,,1758713250
2023,US,transport,road_transport,inf
2023,US,transport,non_road_rail,inf
2023,US,transport,non_road_aviation,inf
2023,US,transport,non_road_shipping,inf
2023,US,industry,,462789600
2023,US,industry_process_emissions,,inf
2023,US,residential,,306919200
2023,US,services,,232958250
2023,US,agriculture,,37596300
2023,US,hydrogen,,inf
2023,US,hydrogen,grid_h2,inf
2023,US,hydrogen,green_h2,inf
2023,US,hydrogen,grey_h2,inf
2023,US,hydrogen,blue_h2,inf
